id_estudiante,id_asignatura,nota,convocatoria,fecha_examen
1,5,7.25,Ordinaria,2023-07-16
1,7,6.29,Ordinaria,2025-01-04
1,8,7.47,Ordinaria,2024-07-13
2,5,8.78,Ordinaria,2024-05-12
2,2,6.15,Extraordinaria,2023-06-04
2,7,6.15,Ordinaria,2023-06-05
3,6,8.87,Extraordinaria,2024-11-04
3,1,7.65,Extraordinaria,2023-10-23
3,4,5.8,Ordinaria,2024-10-07
4,1,7.31,Ordinaria,2023-08-09
4,10,5.8,Ordinaria,2024-11-19
4,5,5.8,Ordinaria,2024-02-16
5,4,6.86,Extraordinaria,2024-02-25
5,9,3.63,Extraordinaria,2024-12-16
5,1,3.91,Extraordinaria,2023-06-01
6,8,5.66,Extraordinaria,2025-04-25
6,6,4.98,Extraordinaria,2024-12-28
6,7,6.97,Extraordinaria,2025-03-19
7,6,5.14,Extraordinaria,2024-12-12
7,4,4.38,Extraordinaria,2024-01-01
7,10,8.7,Ordinaria,2024-06-08
8,6,6.16,Ordinaria,2024-11-29
8,10,6.6,Extraordinaria,2023-11-25
8,2,4.36,Extraordinaria,2024-10-01
9,3,5.68,Extraordinaria,2024-07-15
9,1,6.67,Ordinaria,2023-10-09
9,2,4.77,Extraordinaria,2023-05-19
10,8,7.06,Ordinaria,2023-07-02
10,10,5.6,Ordinaria,2023-11-09
10,7,6.06,Extraordinaria,2025-03-09
11,1,5.6,Extraordinaria,2023-10-13
11,6,9.28,Extraordinaria,2023-11-29
11,10,6.48,Ordinaria,2024-12-24
12,10,4.91,Ordinaria,2024-06-13
12,8,7.73,Extraordinaria,2024-12-23
12,7,4.67,Extraordinaria,2024-02-22
13,8,6.81,Extraordinaria,2023-10-12
13,2,3.56,Ordinaria,2024-11-20
13,7,4.51,Ordinaria,2024-02-16
14,9,6.8,Ordinaria,2024-08-21
14,10,7.61,Extraordinaria,2023-05-27
14,1,6.76,Ordinaria,2024-06-10
15,5,6.33,Ordinaria,2023-06-15
15,9,6.05,Extraordinaria,2024-05-12
15,8,4.28,Ordinaria,2024-10-07
16,8,5.42,Ordinaria,2024-06-04
16,9,5.81,Ordinaria,2024-03-28
16,4,8.09,Ordinaria,2024-02-25
17,2,7.02,Ordinaria,2024-03-11
